Rank,Name,Score,Avatar
100,mb64,178,https://avatars2.githubusercontent.com/u/30397247?v=4
102,LyricLy,177,https://avatars2.githubusercontent.com/u/8314814?v=4
103,(anonymous user #44119),175,
104,crazymerlyn,174,https://avatars1.githubusercontent.com/u/6919679?v=4
104,Pi-Hsun Shih,174,https://lh5.googleusercontent.com/-2RoaUMYYdqA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllZp99adV6aZNpFai93r2beEfquA/s96-c/photo.jpg
106,Neal Wu,172,https://avatars3.githubusercontent.com/u/726075?v=4
107,Jacob Wood,170,https://avatars0.githubusercontent.com/u/7240625?v=4
108,Chris Trevisan,165,https://lh3.googleusercontent.com/a-/AOh14GjlD4BQAoxNyoiGTC9tasadUkjbcPjtzbJX3LoD=s96-c
108,(anonymous user #977867),165,
110,Xavier Cooney,163,https://lh3.googleusercontent.com/a-/AOh14Ggz9bc-hx2QouJwarnpI-AmwTthybQkHwL_QC6-Tw=s96-c
111,bucketpotato01,162,https://avatars1.githubusercontent.com/u/67671582?v=4
112,messa,160,https://avatars0.githubusercontent.com/u/115487?v=4
113,Uwi Tenpen,159,https://lh3.googleusercontent.com/a-/AOh14GiK4QBzhotBLvjGQvUzUXDu7isCMq_zJyPUjyaTaw=s96-c
114,Manish Kundu,158,https://avatars0.githubusercontent.com/u/35730135?v=4
114,aquablitz11,158,https://avatars1.githubusercontent.com/u/5461248?v=4
114,amit dinnar,158,https://lh6.googleusercontent.com/-7LEVCCYyWgw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmTETuyRJRrA1sdBBtanS2kQMkdVA/s96-c/photo.jpg
117,Jason Cannon (AoC++),157,https://avatars2.githubusercontent.com/u/15912342?v=4
117,RodericDay,157,https://avatars1.githubusercontent.com/u/6867226?v=4
119,brendanjcaffrey,154,https://avatars0.githubusercontent.com/u/679223?v=4
120,jschnei,152,https://avatars1.githubusercontent.com/u/1710171?v=4
120,pppery,152,https://avatars0.githubusercontent.com/u/26449113?v=4
122,Aidan Wong,150,https://lh3.googleusercontent.com/a-/AOh14Gj3Qe0-TdCgkspRPZlKfO-UjvWcqzm7CClI90aPOg=s96-c
123,Max Murin,147,https://avatars0.githubusercontent.com/u/18634257?v=4
124,penteract,144,https://avatars1.githubusercontent.com/u/1868537?v=4
125,SheepTester,143,https://avatars1.githubusercontent.com/u/22133785?v=4
126,Erik Amirell Eklöf,142,https://lh5.googleusercontent.com/-dgYNKYhz8BY/AAAAAAAAAAI/AAAAAAAAAU0/AMZuucmEnC0yK0BTSZudBWYLfu687WFsNg/s96-c/photo.jpg
127,Thomas Steinke (AoC++),141,https://avatars0.githubusercontent.com/u/2568722?v=4
128,(anonymous user #997397),139,
128,hughcoleman,139,https://avatars0.githubusercontent.com/u/33557709?v=4
130,Marcus Martina (AoC++),138,https://avatars3.githubusercontent.com/u/273617?v=4
130,Level 51,138,https://avatars0.githubusercontent.com/u/3511593?v=4
132,winger,132,https://avatars3.githubusercontent.com/u/734585?v=4
133,gengkev (AoC++),131,https://avatars2.githubusercontent.com/u/548628?v=4
133,(anonymous user #963726),131,
135,Waffle 3z,129,https://lh3.googleusercontent.com/a-/AOh14GhZ_KapRNvvFLWhZDV8bIh7GaDWo8pHC1soMG4j=s96-c
135,A5rocks,129,https://avatars0.githubusercontent.com/u/40616000?v=4
135,jhawthorn (AoC++) (Sponsor),129,https://avatars3.githubusercontent.com/u/131752?v=4
138,ajgrinds,128,https://avatars3.githubusercontent.com/u/38995121?v=4
139,Craig Gidney,127,https://avatars1.githubusercontent.com/u/79941?v=4
