Rank,Name,Score,Link,Avatar
86,(anonymous user #637942),240,,
88,William Y. Feng,231,,https://lh3.googleusercontent.com/a/ACg8ocK_56tQBfxGAi_Ch8m1-G9LsbZqBpwKYv-2GygpUNxTjHo=s96-c
89,connorjayr,230,https://github.com/connorjayr,https://avatars.githubusercontent.com/u/5413757?v=4
90,Zack Lee,229,,https://lh3.googleusercontent.com/a/ACg8ocI6Bd7gDv9IHQYIUYCZZyF9Ih6I4aLaF_v-JTRfgEND=s96-c
91,phamtrongthang123,227,,https://avatars.githubusercontent.com/u/17172232?v=4
92,(anonymous user #2001399),226,,
92,Mercerenies,226,https://github.com/Mercerenies,https://avatars.githubusercontent.com/u/8659281?v=4
94,ekimekim,213,https://github.com/ekimekim,https://avatars.githubusercontent.com/u/570052?v=4
94,hltk (AoC++),213,https://github.com/hltk,https://avatars.githubusercontent.com/u/47699780?v=4
94,Sean Yawning,213,,https://lh3.googleusercontent.com/a/ACg8ocI0Bxv0zl6nnfYBA6fWcipM8hkVyieNEGw7Cpj0FSh9=s96-c
97,John Kesler,208,,https://avatars.githubusercontent.com/u/72483758?v=4
98,shakespeare1564 (AoC++),206,,https://avatars.githubusercontent.com/u/51535328?v=4
99,Ryan O’Hara,205,https://github.com/minitech,https://avatars.githubusercontent.com/u/1145425?v=4
99,msullivan,205,https://github.com/msullivan,https://avatars.githubusercontent.com/u/340349?v=4
101,milesman34,204,,https://avatars.githubusercontent.com/u/117597693?v=4
102,Måns Magnusson,202,https://github.com/exoji2e,https://avatars.githubusercontent.com/u/2479779?v=4
102,Rem Zhang,202,https://github.com/remzh,https://avatars.githubusercontent.com/u/20567781?v=4
104,penteract,201,https://github.com/penteract,https://avatars.githubusercontent.com/u/1868537?v=4
104,Nicky Skybytskyi,201,,https://lh3.googleusercontent.com/a/ACg8ocI2GaJPOri6tW5cT3QTFDLaJRZcrGMCN40IszqjeUf9Il8=s96-c
106,(anonymous user #1565212),199,,
106,(anonymous user #3428581),199,,
108,rak1507,196,https://github.com/rak1507,https://avatars.githubusercontent.com/u/56049432?v=4
108,Daniel Yang,196,,https://avatars.githubusercontent.com/u/113134317?v=4
110,PDDG Glaser,195,,https://lh3.googleusercontent.com/a/ACg8ocLRNEIouqth7VwupS4CcOgUOH_Tis-z7yCXOtEjmUiF0A=s96-c
111,Thomas Neill,193,,https://lh3.googleusercontent.com/a/ACg8ocI59FbvZ759y8uF7WDJfBkLrEHOyhzkUt__LTtj-NTO=s96-c
112,Adavya Goyal,192,,https://avatars.githubusercontent.com/u/76068760?v=4
113,Jimmy Ding,191,,https://lh3.googleusercontent.com/a/ACg8ocLh5l7hodThxeyl7Du1Lz-fwQnm9ZEEBhPkC3i8kMggUeA=s96-c
